"","No","Karakter","Angka"
"290",290,"B",10
"291",291,"C",1
"292",292,"D",0
"293",293,"A",19
"294",294,"B",18
"295",295,"C",11
"296",296,"D",10
"297",297,"A",8
"298",298,"B",-7
"299",299,"C",8
"300",300,"D",20
"301",301,"A",27
"302",302,"B",13
"303",303,"C",3
"304",304,"D",11
"305",305,"A",9
"306",306,"B",8
"307",307,"C",19
"308",308,"D",7
"309",309,"A",13
"310",310,"B",11
"311",311,"C",13
"312",312,"D",19
"313",313,"A",4
"314",314,"B",9
"315",315,"C",23
"316",316,"D",15
"317",317,"A",9
"318",318,"B",6
"319",319,"C",-1
"320",320,"D",1
"321",321,"A",12
"322",322,"B",2
"323",323,"C",12
"324",324,"D",3
"325",325,"A",-3
"326",326,"B",4
"327",327,"C",7
"328",328,"D",13
"329",329,"A",7
"330",330,"B",15
"331",331,"C",0
"332",332,"D",-8
"333",333,"A",9
"334",334,"B",24
"335",335,"C",25
"336",336,"D",6
"337",337,"A",4
"338",338,"B",27
"339",339,"C",20
"340",340,"D",15
"341",341,"A",8
"342",342,"B",-13
"343",343,"C",13
"344",344,"D",-7
"345",345,"A",0
"346",346,"B",19
"347",347,"C",4
"348",348,"D",17
"349",349,"A",23
"350",350,"B",-3
"351",351,"C",8
"352",352,"D",-1
"353",353,"A",15
"354",354,"B",9
"355",355,"C",18
"356",356,"D",28
"357",357,"A",25
"358",358,"B",-8
"359",359,"C",11
"360",360,"D",-16
"361",361,"A",0
"362",362,"B",15
"363",363,"C",-2
"364",364,"D",4
"365",365,"A",19
"366",366,"B",27
"367",367,"C",8
"368",368,"D",16
"369",369,"A",22
"370",370,"B",10
"371",371,"C",18
"372",372,"D",13
"373",373,"A",-3
"374",374,"B",5
"375",375,"C",-2
"376",376,"D",7
"377",377,"A",21
"378",378,"B",15
"379",379,"C",20
"380",380,"D",5
"381",381,"A",41
"382",382,"B",7
"383",383,"C",9
"384",384,"D",6
"385",385,"A",18
"386",386,"B",-6
"387",387,"C",16
"388",388,"D",17
"389",389,"A",0
"390",390,"B",10
"391",391,"C",26
"392",392,"D",10
"393",393,"A",2
"394",394,"B",19
"395",395,"C",8
"396",396,"D",5
"397",397,"A",-6
"398",398,"B",17
"399",399,"C",5
"400",400,"D",2
"401",401,"A",6
"402",402,"B",2
"403",403,"C",-16
"404",404,"D",17
"405",405,"A",8
"406",406,"B",1
"407",407,"C",10
"408",408,"D",19
"409",409,"A",21
"410",410,"B",2
"411",411,"C",3
"412",412,"D",16
"413",413,"A",-1
"414",414,"B",8
"415",415,"C",1
"416",416,"D",3
"417",417,"A",20
"418",418,"B",2
"419",419,"C",7
"420",420,"D",13
"421",421,"A",17
"422",422,"B",18
"423",423,"C",9
"424",424,"D",30
"425",425,"A",-2
"426",426,"B",3
"427",427,"C",2
"428",428,"D",10
"429",429,"A",17
"430",430,"B",15
"431",431,"C",1
"432",432,"D",47
"433",433,"A",-8
"434",434,"B",25
"435",435,"C",25
"436",436,"D",3
"437",437,"A",-3
"438",438,"B",3
"439",439,"C",4
"440",440,"D",7
"441",441,"A",19
"442",442,"B",4
"443",443,"C",20
"444",444,"D",0
"445",445,"A",17
"446",446,"B",14
"447",447,"C",12
"448",448,"D",-4
"449",449,"A",7
"450",450,"B",1
"451",451,"C",6
"452",452,"D",10
"453",453,"A",5
"454",454,"B",9
"455",455,"C",12
"456",456,"D",4
"457",457,"A",19
"458",458,"B",16
"459",459,"C",-5
"460",460,"D",15
"461",461,"A",12
"462",462,"B",15
"463",463,"C",-5
"464",464,"D",8
"465",465,"A",14
"466",466,"B",15
"467",467,"C",11
"468",468,"D",8
"469",469,"A",-7
"470",470,"B",6
"471",471,"C",5
"472",472,"D",34
"473",473,"A",10
"474",474,"B",7
"475",475,"C",25
"476",476,"D",-1
"477",477,"A",19
"478",478,"B",27
"479",479,"C",11
"480",480,"D",15
"481",481,"A",0
"482",482,"B",12
"483",483,"C",12
"484",484,"D",-6
"485",485,"A",8
"486",486,"B",30
"487",487,"C",8
"488",488,"D",4
"489",489,"A",28
"490",490,"B",7
"491",491,"C",15
"492",492,"D",-8
"493",493,"A",13
"494",494,"B",15
"495",495,"C",-1
"496",496,"D",13
"497",497,"A",9
"498",498,"B",-1
"499",499,"C",24
"500",500,"D",22
"501",501,"A",33
"502",502,"B",3
"503",503,"C",17
"504",504,"D",10
"505",505,"A",-1
"506",506,"B",12
"507",507,"C",22
"508",508,"D",2
"509",509,"A",24
"510",510,"B",2
"511",511,"C",12
"512",512,"D",17
"513",513,"A",15
"514",514,"B",18
"515",515,"C",25
"516",516,"D",-8
"517",517,"A",23
"518",518,"B",-4
"519",519,"C",15
"520",520,"D",12
"521",521,"A",13
"522",522,"B",-5
"523",523,"C",27
"524",524,"D",7
"525",525,"A",13
"526",526,"B",5
"527",527,"C",13
"528",528,"D",5
"529",529,"A",5
"530",530,"B",-7
"531",531,"C",11
"532",532,"D",-1
"533",533,"A",9
"534",534,"B",2
"535",535,"C",20
"536",536,"D",20
"537",537,"A",5
"538",538,"B",11
"539",539,"C",18
"540",540,"D",9
"541",541,"A",19
"542",542,"B",12
"543",543,"C",13
"544",544,"D",13
"545",545,"A",-5
"546",546,"B",1
"547",547,"C",12
"548",548,"D",27
"549",549,"A",-11
"550",550,"B",-3
"551",551,"C",4
"552",552,"D",-1
"553",553,"A",12
"554",554,"B",13
"555",555,"C",21
"556",556,"D",28
"557",557,"A",-13
"558",558,"B",4
"559",559,"C",15
"560",560,"D",12
"561",561,"A",1
"562",562,"B",15
"563",563,"C",0
"564",564,"D",11
"565",565,"A",14
"566",566,"B",21
"567",567,"C",-5
"568",568,"D",-3
"569",569,"A",22
"570",570,"B",-8
"571",571,"C",11
"572",572,"D",11
"573",573,"A",27
"574",574,"B",6
"575",575,"C",21
"576",576,"D",16
"577",577,"A",10
"578",578,"B",8
"579",579,"C",7
"580",580,"D",22
"581",581,"A",18
"582",582,"B",12
"583",583,"C",8
"584",584,"D",-7
"585",585,"A",-8
"586",586,"B",-7
"587",587,"C",14
"588",588,"D",9
"589",589,"A",-10
"590",590,"B",14
"591",591,"C",4
"592",592,"D",4
"593",593,"A",7
"594",594,"B",24
"595",595,"C",14
"596",596,"D",3
"597",597,"A",16
"598",598,"B",2
"599",599,"C",15
"600",600,"D",-3
"601",601,"A",-1
"602",602,"B",11
"603",603,"C",3
"604",604,"D",5
"605",605,"A",11
"606",606,"B",18
"607",607,"C",18
"608",608,"D",21
"609",609,"A",7
"610",610,"B",-4
"611",611,"C",9
"612",612,"D",14
"613",613,"A",30
"614",614,"B",12
"615",615,"C",17
"616",616,"D",6
"617",617,"A",8
"618",618,"B",15
"619",619,"C",11
"620",620,"D",17
"621",621,"A",8
"622",622,"B",17
"623",623,"C",12
"624",624,"D",7
"625",625,"A",14
"626",626,"B",7
"627",627,"C",33
"628",628,"D",14
"629",629,"A",8
"630",630,"B",1
"631",631,"C",0
"632",632,"D",4
"633",633,"A",15
"634",634,"B",11
"635",635,"C",11
"636",636,"D",15
"637",637,"A",13
"638",638,"B",16
"639",639,"C",19
"640",640,"D",13
"641",641,"A",1
"642",642,"B",19
"643",643,"C",18
"644",644,"D",14
"645",645,"A",11
"646",646,"B",-4
"647",647,"C",18
"648",648,"D",18
"649",649,"A",-8
"650",650,"B",-9
"651",651,"C",9
"652",652,"D",16
"653",653,"A",5
"654",654,"B",15
"655",655,"C",19
"656",656,"D",11
"657",657,"A",18
"658",658,"B",-2
"659",659,"C",21
"660",660,"D",3
"661",661,"A",10
"662",662,"B",11
"663",663,"C",19
"664",664,"D",25
"665",665,"A",20
"666",666,"B",14
"667",667,"C",5
"668",668,"D",14
"669",669,"A",19
"670",670,"B",4
"671",671,"C",12
"672",672,"D",3
"673",673,"A",27
"674",674,"B",23
"675",675,"C",17
"676",676,"D",11
"677",677,"A",15
"678",678,"B",10
"679",679,"C",5
"680",680,"D",10
"681",681,"A",5
"682",682,"B",9
"683",683,"C",7
"684",684,"D",13
"685",685,"A",27
"686",686,"B",0
"687",687,"C",21
"688",688,"D",12
"689",689,"A",5
"690",690,"B",3
"691",691,"C",19
"692",692,"D",1
"693",693,"A",24
"694",694,"B",22
"695",695,"C",-1
"696",696,"D",11
"697",697,"A",12
"698",698,"B",3
"699",699,"C",10
"700",700,"D",9
"701",701,"A",8
"702",702,"B",5
"703",703,"C",11
"704",704,"D",11
"705",705,"A",25
"706",706,"B",16
"707",707,"C",39
"708",708,"D",26
"709",709,"A",12
"710",710,"B",11
"711",711,"C",22
"712",712,"D",18
"713",713,"A",18
"714",714,"B",7
"715",715,"C",7
"716",716,"D",7
"717",717,"A",-3
"718",718,"B",23
"719",719,"C",9
"720",720,"D",10
"721",721,"A",5
"722",722,"B",-2
"723",723,"C",22
"724",724,"D",12
"725",725,"A",5
"726",726,"B",13
"727",727,"C",-5
"728",728,"D",5
"729",729,"A",7
"730",730,"B",15
"731",731,"C",5
"732",732,"D",21
"733",733,"A",-8
"734",734,"B",20
"735",735,"C",-2
"736",736,"D",-5
"737",737,"A",18
"738",738,"B",19
"739",739,"C",15
"740",740,"D",5
"741",741,"A",17
"742",742,"B",25
"743",743,"C",9
"744",744,"D",4
"745",745,"A",5
"746",746,"B",12
"747",747,"C",26
"748",748,"D",21
"749",749,"A",26
"750",750,"B",15
"751",751,"C",17
"752",752,"D",12
"753",753,"A",-6
"754",754,"B",-1
"755",755,"C",13
"756",756,"D",10
"757",757,"A",18
"758",758,"B",13
"759",759,"C",11
"760",760,"D",13
"761",761,"A",3
"762",762,"B",6
"763",763,"C",21
"764",764,"D",-8
"765",765,"A",37
"766",766,"B",27
"767",767,"C",6
"768",768,"D",0
"769",769,"A",-2
"770",770,"B",22
"771",771,"C",1
"772",772,"D",12
"773",773,"A",12
"774",774,"B",33
"775",775,"C",3
"776",776,"D",11
"777",777,"A",-1
"778",778,"B",-7
"779",779,"C",16
"780",780,"D",31
"781",781,"A",7
"782",782,"B",14
"783",783,"C",9
"784",784,"D",20
"785",785,"A",-9
"786",786,"B",0
"787",787,"C",25
"788",788,"D",-5
"789",789,"A",18
"790",790,"B",3
"791",791,"C",12
"792",792,"D",-2
"793",793,"A",9
"794",794,"B",14
"795",795,"C",25
"796",796,"D",11
"797",797,"A",5
"798",798,"B",-2
"799",799,"C",32
"800",800,"D",-8
"801",801,"A",-2
"802",802,"B",6
"803",803,"C",16
"804",804,"D",2
"805",805,"A",12
"806",806,"B",-16
"807",807,"C",6
"808",808,"D",4
"809",809,"A",4
"810",810,"B",22
"811",811,"C",4
"812",812,"D",-4
"813",813,"A",-5
"814",814,"B",12
"815",815,"C",5
"816",816,"D",8
"817",817,"A",3
"818",818,"B",9
"819",819,"C",6
"820",820,"D",16
"821",821,"A",7
"822",822,"B",17
"823",823,"C",16
"824",824,"D",18
"825",825,"A",22
"826",826,"B",3
"827",827,"C",3
"828",828,"D",-4
"829",829,"A",3
"830",830,"B",13
"831",831,"C",6
"832",832,"D",27
"833",833,"A",24
"834",834,"B",8
"835",835,"C",10
"836",836,"D",13
"837",837,"A",25
"838",838,"B",7
"839",839,"C",18
"840",840,"D",-9
"841",841,"A",2
"842",842,"B",1
"843",843,"C",0
"844",844,"D",5
"845",845,"A",16
"846",846,"B",-1
"847",847,"C",15
"848",848,"D",6
"849",849,"A",9
"850",850,"B",0
"851",851,"C",16
"852",852,"D",0
"853",853,"A",0
"854",854,"B",1
"855",855,"C",15
"856",856,"D",11
"857",857,"A",-3
"858",858,"B",-4
"859",859,"C",3
"860",860,"D",5
"861",861,"A",13
"862",862,"B",-9
"863",863,"C",5
"864",864,"D",33
"865",865,"A",-15
"866",866,"B",-1
"867",867,"C",15
"868",868,"D",-5
"869",869,"A",4
"870",870,"B",28
"871",871,"C",27
"872",872,"D",31
"873",873,"A",4
"874",874,"B",-2
"875",875,"C",22
"876",876,"D",-1
"877",877,"A",16
"878",878,"B",24
"879",879,"C",3
"880",880,"D",10
"881",881,"A",1
"882",882,"B",15
"883",883,"C",9
"884",884,"D",1
"885",885,"A",-4
"886",886,"B",7
"887",887,"C",-4
"888",888,"D",1
"889",889,"A",-6
"890",890,"B",26
"891",891,"C",6
"892",892,"D",4
"893",893,"A",23
"894",894,"B",1
"895",895,"C",-7
"896",896,"D",7
"897",897,"A",0
"898",898,"B",16
"899",899,"C",13
"900",900,"D",9
"901",901,"A",21
"902",902,"B",16
"903",903,"C",14
"904",904,"D",-2
"905",905,"A",3
"906",906,"B",4
"907",907,"C",0
"908",908,"D",25
"909",909,"A",14
"910",910,"B",24
"911",911,"C",11
"912",912,"D",10
"913",913,"A",1
"914",914,"B",28
"915",915,"C",24
"916",916,"D",10
"917",917,"A",-17
"918",918,"B",11
"919",919,"C",0
"920",920,"D",15
"921",921,"A",-15
"922",922,"B",0
"923",923,"C",6
"924",924,"D",4
"925",925,"A",-3
"926",926,"B",2
"927",927,"C",14
"928",928,"D",21
"929",929,"A",20
"930",930,"B",30
"931",931,"C",11
"932",932,"D",9
"933",933,"A",-14
"934",934,"B",0
"935",935,"C",24
"936",936,"D",11
"937",937,"A",5
"938",938,"B",10
"939",939,"C",-9
"940",940,"D",21
"941",941,"A",10
"942",942,"B",11
"943",943,"C",7
"944",944,"D",10
"945",945,"A",26
"946",946,"B",-4
"947",947,"C",11
"948",948,"D",7
"949",949,"A",21
"950",950,"B",19
"951",951,"C",-5
"952",952,"D",8
"953",953,"A",2
"954",954,"B",-7
"955",955,"C",2
"956",956,"D",24
"957",957,"A",4
"958",958,"B",7
"959",959,"C",10
"960",960,"D",16
"961",961,"A",9
"962",962,"B",29
"963",963,"C",40
"964",964,"D",1
"965",965,"A",6
"966",966,"B",28
"967",967,"C",1
"968",968,"D",3
"969",969,"A",13
"970",970,"B",15
"971",971,"C",20
"972",972,"D",10
"973",973,"A",-2
"974",974,"B",11
"975",975,"C",-8
"976",976,"D",14
"977",977,"A",29
"978",978,"B",6
"979",979,"C",8
"980",980,"D",3
"981",981,"A",9
"982",982,"B",25
"983",983,"C",25
"984",984,"D",-2
"985",985,"A",14
"986",986,"B",1
"987",987,"C",3
"988",988,"D",3
"989",989,"A",14
"990",990,"B",7
"991",991,"C",9
"992",992,"D",9
"993",993,"A",14
"994",994,"B",7
"995",995,"C",-5
"996",996,"D",24
"997",997,"A",17
"998",998,"B",21
"999",999,"C",12
"1000",1000,"D",-3
"1001",1001,"A",20
"1002",1002,"B",-6
"1003",1003,"C",1
"1004",1004,"D",27
"1005",1005,"A",21
"1006",1006,"B",11
"1007",1007,"C",10
"1008",1008,"D",5
"1009",1009,"A",34
"1010",1010,"B",18
"1011",1011,"C",-4
"1012",1012,"D",23
"1013",1013,"A",24
"1014",1014,"B",15
"1015",1015,"C",30
"1016",1016,"D",-6
"1017",1017,"A",6
"1018",1018,"B",14
"1019",1019,"C",17
"1020",1020,"D",-6
"1021",1021,"A",17
"1022",1022,"B",-7
"1023",1023,"C",13
"1024",1024,"D",16
"1025",1025,"A",2
"1026",1026,"B",16
"1027",1027,"C",31
"1028",1028,"D",13
"1029",1029,"A",17
"1030",1030,"B",25
"1031",1031,"C",19
"1032",1032,"D",18
"1033",1033,"A",19
"1034",1034,"B",29
"1035",1035,"C",9
"1036",1036,"D",2
"1037",1037,"A",13
"1038",1038,"B",4
"1039",1039,"C",10
"1040",1040,"D",10
"1041",1041,"A",15
"1042",1042,"B",29
"1043",1043,"C",9
"1044",1044,"D",12
"1045",1045,"A",-15
"1046",1046,"B",1
"1047",1047,"C",11
"1048",1048,"D",22
"1049",1049,"A",15
"1050",1050,"B",16
"1051",1051,"C",-5
"1052",1052,"D",19
"1053",1053,"A",-22
"1054",1054,"B",14
"1055",1055,"C",1
"1056",1056,"D",7
"1057",1057,"A",-4
"1058",1058,"B",9
"1059",1059,"C",20
"1060",1060,"D",-8
"1061",1061,"A",7
"1062",1062,"B",1
"1063",1063,"C",13
"1064",1064,"D",24
"1065",1065,"A",-5
"1066",1066,"B",18
"1067",1067,"C",7
"1068",1068,"D",15
"1069",1069,"A",9
"1070",1070,"B",7
"1071",1071,"C",11
"1072",1072,"D",-8
"1073",1073,"A",22
"1074",1074,"B",11
"1075",1075,"C",18
"1076",1076,"D",19
"1077",1077,"A",36
"1078",1078,"B",16
"1079",1079,"C",25
"1080",1080,"D",12
"1081",1081,"A",5
"1082",1082,"B",15
"1083",1083,"C",8
"1084",1084,"D",7
"1085",1085,"A",-5
"1086",1086,"B",11
"1087",1087,"C",23
"1088",1088,"D",13
"1089",1089,"A",3
"1090",1090,"B",16
"1091",1091,"C",14
"1092",1092,"D",-4
"1093",1093,"A",16
"1094",1094,"B",15
"1095",1095,"C",14
"1096",1096,"D",15
"1097",1097,"A",30
"1098",1098,"B",16
"1099",1099,"C",17
"1100",1100,"D",14
"1101",1101,"A",-1
"1102",1102,"B",7
"1103",1103,"C",4
"1104",1104,"D",28
"1105",1105,"A",-2
"1106",1106,"B",23
"1107",1107,"C",7
"1108",1108,"D",24
"1109",1109,"A",24
"1110",1110,"B",7
"1111",1111,"C",7
"1112",1112,"D",11
"1113",1113,"A",13
"1114",1114,"B",22
"1115",1115,"C",6
"1116",1116,"D",18
"1117",1117,"A",-2
"1118",1118,"B",14
"1119",1119,"C",3
"1120",1120,"D",7
"1121",1121,"A",19
"1122",1122,"B",8
"1123",1123,"C",31
"1124",1124,"D",20
"1125",1125,"A",9
"1126",1126,"B",1
"1127",1127,"C",7
"1128",1128,"D",9
"1129",1129,"A",-4
"1130",1130,"B",21
"1131",1131,"C",16
"1132",1132,"D",12
"1133",1133,"A",-3
"1134",1134,"B",24
"1135",1135,"C",14
"1136",1136,"D",22
"1137",1137,"A",14
"1138",1138,"B",-1
"1139",1139,"C",22
"1140",1140,"D",7
"1141",1141,"A",19
"1142",1142,"B",16
"1143",1143,"C",36
"1144",1144,"D",21
"1145",1145,"A",20
"1146",1146,"B",6
"1147",1147,"C",5
"1148",1148,"D",32
"1149",1149,"A",5
"1150",1150,"B",-15
"1151",1151,"C",11
"1152",1152,"D",18
"1153",1153,"A",0
"1154",1154,"B",12
"1155",1155,"C",5
"1156",1156,"D",-8
"1157",1157,"A",5
"1158",1158,"B",20
"1159",1159,"C",20
"1160",1160,"D",22
"1161",1161,"A",38
"1162",1162,"B",8
"1163",1163,"C",11
"1164",1164,"D",18
"1165",1165,"A",23
"1166",1166,"B",14
"1167",1167,"C",4
"1168",1168,"D",7
"1169",1169,"A",5
"1170",1170,"B",23
"1171",1171,"C",0
"1172",1172,"D",23
"1173",1173,"A",22
"1174",1174,"B",13
"1175",1175,"C",10
"1176",1176,"D",12
"1177",1177,"A",10
"1178",1178,"B",-1
"1179",1179,"C",14
"1180",1180,"D",19
"1181",1181,"A",15
"1182",1182,"B",-9
"1183",1183,"C",-1
"1184",1184,"D",-7
"1185",1185,"A",13
"1186",1186,"B",28
"1187",1187,"C",-2
"1188",1188,"D",7
"1189",1189,"A",12
"1190",1190,"B",8
"1191",1191,"C",7
"1192",1192,"D",-1
"1193",1193,"A",20
"1194",1194,"B",28
"1195",1195,"C",7
"1196",1196,"D",8
"1197",1197,"A",4
"1198",1198,"B",11
"1199",1199,"C",6
"1200",1200,"D",9
"1201",1201,"A",7
"1202",1202,"B",0
"1203",1203,"C",12
"1204",1204,"D",7
"1205",1205,"A",15
"1206",1206,"B",10
"1207",1207,"C",4
"1208",1208,"D",3
"1209",1209,"A",10
"1210",1210,"B",3
"1211",1211,"C",20
"1212",1212,"D",7
"1213",1213,"A",-7
"1214",1214,"B",3
"1215",1215,"C",-4
"1216",1216,"D",1
"1217",1217,"A",8
"1218",1218,"B",3
"1219",1219,"C",21
"1220",1220,"D",27
"1221",1221,"A",-4
"1222",1222,"B",2
"1223",1223,"C",8
"1224",1224,"D",6
"1225",1225,"A",11
"1226",1226,"B",24
"1227",1227,"C",18
"1228",1228,"D",17
"1229",1229,"A",18
"1230",1230,"B",12
"1231",1231,"C",15
"1232",1232,"D",-6
"1233",1233,"A",-7
"1234",1234,"B",6
"1235",1235,"C",9
"1236",1236,"D",6
"1237",1237,"A",6
"1238",1238,"B",19
"1239",1239,"C",11
"1240",1240,"D",-2
"1241",1241,"A",4
"1242",1242,"B",17
"1243",1243,"C",16
"1244",1244,"D",18
"1245",1245,"A",-2
"1246",1246,"B",13
"1247",1247,"C",2
"1248",1248,"D",4
"1249",1249,"A",8
"1250",1250,"B",27
"1251",1251,"C",1
"1252",1252,"D",20
"1253",1253,"A",-3
"1254",1254,"B",-1
"1255",1255,"C",11
"1256",1256,"D",13
"1257",1257,"A",-9
"1258",1258,"B",3
"1259",1259,"C",6
"1260",1260,"D",3
"1261",1261,"A",20
"1262",1262,"B",10
"1263",1263,"C",1
"1264",1264,"D",-6
"1265",1265,"A",4
"1266",1266,"B",6
"1267",1267,"C",11
"1268",1268,"D",13
"1269",1269,"A",-8
"1270",1270,"B",9
"1271",1271,"C",10
"1272",1272,"D",1
"1273",1273,"A",-2
"1274",1274,"B",-1
"1275",1275,"C",14
"1276",1276,"D",22
"1277",1277,"A",-7
"1278",1278,"B",11
"1279",1279,"C",14
"1280",1280,"D",18
"1281",1281,"A",17
"1282",1282,"B",-9
"1283",1283,"C",16
"1284",1284,"D",3
"1285",1285,"A",23
"1286",1286,"B",13
"1287",1287,"C",3
"1288",1288,"D",15
"1289",1289,"A",6
"1290",1290,"B",11
"1291",1291,"C",22
"1292",1292,"D",9
"1293",1293,"A",16
"1294",1294,"B",14
"1295",1295,"C",8
"1296",1296,"D",22
"1297",1297,"A",5
"1298",1298,"B",19
"1299",1299,"C",8
"1300",1300,"D",30
"1301",1301,"A",11
"1302",1302,"B",6
"1303",1303,"C",6
"1304",1304,"D",12
"1305",1305,"A",2
"1306",1306,"B",7
"1307",1307,"C",15
"1308",1308,"D",19
"1309",1309,"A",7
"1310",1310,"B",0
"1311",1311,"C",-2
"1312",1312,"D",15
"1313",1313,"A",28
"1314",1314,"B",27
